Vardas              Pavarde             Galutinis vid. / Galutinis med.
Var68513            Pav68513            5.20             4.80
Var68515            Pav68515            6.88             6.80
Var68517            Pav68517            7.51             7.40
Var68518            Pav68518            5.03             4.60
Var68519            Pav68519            7.35             7.40
Var6852             Pav6852             6.96             6.80
Var68521            Pav68521            7.80             7.80
Var68522            Pav68522            7.29             7.40
Var68523            Pav68523            7.11             7.00
Var68525            Pav68525            8.19             8.00
Var68526            Pav68526            5.05             4.60
Var68527            Pav68527            7.37             7.80
Var68530            Pav68530            6.09             5.80
Var68531            Pav68531            5.76             6.00
Var68534            Pav68534            6.23             6.20
Var68536            Pav68536            6.36             6.60
Var68538            Pav68538            6.56             6.80
Var68539            Pav68539            7.99             8.20
Var6854             Pav6854             8.21             8.00
Var68540            Pav68540            7.64             7.80
Var68541            Pav68541            5.47             5.60
Var68542            Pav68542            5.81             6.40
Var68543            Pav68543            5.89             6.00
Var68545            Pav68545            7.23             7.60
Var68546            Pav68546            6.32             6.40
Var68549            Pav68549            6.65             7.00
Var68550            Pav68550            6.57             6.60
Var68552            Pav68552            8.12             8.20
Var68553            Pav68553            7.37             7.00
Var68555            Pav68555            5.71             5.60
Var68556            Pav68556            7.29             7.00
Var68557            Pav68557            7.87             7.60
Var68558            Pav68558            6.20             5.80
Var6856             Pav6856             7.69             7.80
Var68561            Pav68561            7.15             8.00
Var68562            Pav68562            8.19             8.00
Var68566            Pav68566            5.97             6.40
Var68569            Pav68569            5.00             5.00
Var6857             Pav6857             6.88             7.20
Var68572            Pav68572            8.03             7.20
Var68573            Pav68573            6.45             6.40
Var68574            Pav68574            6.16             6.00
Var68575            Pav68575            5.76             6.00
Var68576            Pav68576            5.73             5.60
Var68578            Pav68578            6.07             5.40
Var68579            Pav68579            8.11             7.60
Var6858             Pav6858             6.49             6.60
Var68582            Pav68582            6.28             6.20
Var68583            Pav68583            5.03             5.00
Var68584            Pav68584            5.64             5.80
Var68585            Pav68585            6.88             7.20
Var68586            Pav68586            5.47             5.20
Var68587            Pav68587            7.23             7.20
Var68588            Pav68588            5.83             6.60
Var68591            Pav68591            7.23             7.20
Var68594            Pav68594            7.59             7.40
Var68595            Pav68595            5.73             5.20
Var686              Pav686              6.35             6.40
Var6860             Pav6860             7.37             6.60
Var68603            Pav68603            5.92             6.40
Var68607            Pav68607            7.51             7.40
Var68608            Pav68608            5.35             5.40
Var68609            Pav68609            5.64             5.40
Var6861             Pav6861             6.03             6.40
Var68611            Pav68611            6.55             6.60
Var68612            Pav68612            7.92             8.00
Var68615            Pav68615            6.15             5.80
Var68616            Pav68616            6.08             6.40
Var68617            Pav68617            6.48             6.40
Var68618            Pav68618            5.39             5.20
Var68621            Pav68621            5.19             5.40
Var68622            Pav68622            5.21             5.40
Var68623            Pav68623            7.47             7.60
Var68624            Pav68624            6.80             6.80
Var68625            Pav68625            7.61             7.80
Var68626            Pav68626            5.73             5.60
Var68627            Pav68627            8.24             8.40
Var68629            Pav68629            7.07             6.80
Var6863             Pav6863             8.27             8.00
Var68630            Pav68630            5.84             5.60
Var68631            Pav68631            6.23             5.80
Var68633            Pav68633            6.79             7.00
Var68635            Pav68635            6.39             6.60
Var68638            Pav68638            7.15             7.20
Var6864             Pav6864             6.33             6.20
Var68641            Pav68641            8.41             9.00
Var68642            Pav68642            6.84             6.60
Var68644            Pav68644            6.03             6.00
Var68647            Pav68647            6.91             6.80
Var68648            Pav68648            6.32             6.40
Var68650            Pav68650            7.04             6.80
Var68652            Pav68652            5.79             6.00
Var68655            Pav68655            7.51             7.40
Var68656            Pav68656            5.05             5.80
Var68658            Pav68658            8.43             8.40
Var6866             Pav6866             7.96             7.80
Var68660            Pav68660            7.61             7.40
Var68665            Pav68665            5.08             5.40
Var68666            Pav68666            7.16             7.00
Var68667            Pav68667            8.45             8.40
Var68669            Pav68669            6.36             6.20
Var68671            Pav68671            5.61             5.80
Var68673            Pav68673            7.65             7.20
Var68675            Pav68675            6.88             6.80
Var68676            Pav68676            8.00             7.60
Var68677            Pav68677            6.15             6.20
Var68678            Pav68678            8.15             8.60
Var68680            Pav68680            8.00             8.00
Var68687            Pav68687            7.07             6.40
Var68689            Pav68689            8.25             8.60
Var6869             Pav6869             5.65             5.60
Var68691            Pav68691            7.36             8.00
Var68692            Pav68692            6.52             6.60
Var68693            Pav68693            6.36             7.00
Var68695            Pav68695            7.47             7.60
Var68698            Pav68698            5.36             5.60
Var687              Pav687              8.45             8.40
Var6870             Pav6870             6.40             6.40
Var68700            Pav68700            5.20             5.20
Var68704            Pav68704            5.57             5.20
Var68708            Pav68708            8.85             9.20
Var68709            Pav68709            5.37             5.40
Var6871             Pav6871             6.21             6.40
Var68710            Pav68710            6.84             6.60
Var68711            Pav68711            5.68             5.60
Var68713            Pav68713            8.15             8.20
Var68714            Pav68714            6.44             6.60
Var68716            Pav68716            8.35             8.40
Var68717            Pav68717            5.80             5.40
Var68718            Pav68718            5.68             6.00
Var68719            Pav68719            5.01             5.20
Var68721            Pav68721            6.17             6.20
Var68723            Pav68723            6.63             7.00
Var68724            Pav68724            7.01             7.20
Var68725            Pav68725            8.08             8.00
Var68728            Pav68728            5.21             5.00
Var68729            Pav68729            5.11             5.00
Var6873             Pav6873             8.69             9.20
Var68734            Pav68734            6.13             6.40
Var68735            Pav68735            5.04             5.20
Var68736            Pav68736            6.91             6.40
Var68740            Pav68740            5.07             5.60
Var68745            Pav68745            6.53             6.40
Var68746            Pav68746            7.76             7.20
Var68747            Pav68747            6.84             7.00
Var68748            Pav68748            8.08             8.00
Var68749            Pav68749            7.51             7.80
Var68750            Pav68750            7.89             8.00
Var68752            Pav68752            5.23             5.60
Var68753            Pav68753            6.40             6.80
Var68754            Pav68754            5.19             5.40
Var68755            Pav68755            6.77             6.40
Var68756            Pav68756            5.79             5.60
Var68757            Pav68757            6.49             6.20
Var68758            Pav68758            8.11             8.00
Var68759            Pav68759            5.56             5.80
Var6876             Pav6876             8.51             8.40
Var68762            Pav68762            7.15             6.80
Var68763            Pav68763            7.28             6.80
Var68764            Pav68764            5.01             5.20
Var68765            Pav68765            5.29             5.40
Var68766            Pav68766            8.23             8.20
Var68768            Pav68768            5.63             5.60
Var68770            Pav68770            5.68             6.00
Var68771            Pav68771            5.59             5.80
Var68773            Pav68773            7.92             7.20
Var68775            Pav68775            6.23             6.20
Var68778            Pav68778            7.80             8.20
Var68779            Pav68779            8.56             8.80
Var68781            Pav68781            8.11             7.60
Var68782            Pav68782            8.51             8.40
Var68784            Pav68784            8.43             8.40
Var68785            Pav68785            5.79             5.60
Var68786            Pav68786            7.09             7.60
Var68788            Pav68788            8.45             8.40
Var68789            Pav68789            6.12             6.20
Var6879             Pav6879             5.68             5.60
Var68791            Pav68791            6.24             6.40
Var68792            Pav68792            7.47             7.60
Var68793            Pav68793            6.57             6.60
Var68795            Pav68795            6.79             7.00
Var68796            Pav68796            7.19             7.00
Var68797            Pav68797            6.37             6.40
Var68799            Pav68799            7.39             7.60
Var688              Pav688              8.83             9.20
Var68801            Pav68801            5.27             5.40
Var68802            Pav68802            7.31             7.60
Var68804            Pav68804            5.00             5.00
Var68805            Pav68805            7.51             7.80
Var68806            Pav68806            7.12             7.20
Var68807            Pav68807            5.72             5.80
Var68808            Pav68808            5.48             5.40
Var68809            Pav68809            5.72             5.40
Var6881             Pav6881             6.87             7.00
Var68810            Pav68810            6.89             7.00
Var68811            Pav68811            6.47             6.60
Var68812            Pav68812            5.21             5.00
Var68814            Pav68814            7.95             8.00
Var68815            Pav68815            5.92             5.60
Var68816            Pav68816            7.39             7.60
Var68817            Pav68817            8.05             8.00
Var68818            Pav68818            8.53             8.80
Var68819            Pav68819            7.27             7.40
Var68820            Pav68820            7.03             7.40
Var68821            Pav68821            6.76             7.00
Var68823            Pav68823            5.45             5.80
Var68824            Pav68824            8.21             8.00
Var68825            Pav68825            7.92             8.00
Var68826            Pav68826            5.60             5.60
Var68827            Pav68827            7.95             8.00
Var68828            Pav68828            7.33             7.60
Var68829            Pav68829            5.05             5.00
Var68830            Pav68830            8.40             8.40
Var68831            Pav68831            7.21             7.00
Var68832            Pav68832            6.99             6.80
Var68833            Pav68833            5.60             6.00
Var68834            Pav68834            6.52             6.20
Var68836            Pav68836            5.92             6.00
Var68839            Pav68839            8.48             8.40
Var6884             Pav6884             5.33             5.20
Var68840            Pav68840            6.99             6.80
Var68842            Pav68842            8.27             8.00
Var68843            Pav68843            6.59             6.80
Var68845            Pav68845            7.81             7.60
Var68846            Pav68846            7.24             7.00
Var6885             Pav6885             5.81             5.60
Var68852            Pav68852            5.49             5.60
Var68853            Pav68853            6.41             6.60
Var68855            Pav68855            8.01             8.20
Var68856            Pav68856            6.93             6.80
Var68857            Pav68857            5.13             4.60
Var68860            Pav68860            7.23             7.20
Var68861            Pav68861            5.87             6.00
Var68865            Pav68865            6.99             6.80
Var68866            Pav68866            8.19             7.60
Var68867            Pav68867            5.88             5.80
Var68870            Pav68870            6.11             6.00
Var68872            Pav68872            5.01             4.80
Var68874            Pav68874            6.96             6.80
Var68876            Pav68876            6.21             6.80
Var6888             Pav6888             6.85             6.80
Var68880            Pav68880            7.80             8.20
Var68881            Pav68881            7.83             7.80
Var68882            Pav68882            8.56             8.40
Var68883            Pav68883            6.64             6.40
Var68884            Pav68884            8.24             8.40
Var68887            Pav68887            6.85             6.80
Var68888            Pav68888            5.99             5.40
Var68890            Pav68890            5.52             5.60
Var68891            Pav68891            6.85             7.20
Var68893            Pav68893            8.61             8.80
Var68894            Pav68894            5.96             5.80
Var68896            Pav68896            5.84             6.40
Var68897            Pav68897            7.15             7.20
Var68898            Pav68898            7.67             7.40
Var689              Pav689              5.93             5.80
Var68900            Pav68900            6.41             6.60
Var68901            Pav68901            5.45             5.40
Var68903            Pav68903            7.45             7.00
Var68904            Pav68904            5.49             5.20
Var68907            Pav68907            8.12             8.20
Var68908            Pav68908            5.84             5.60
Var68909            Pav68909            7.43             7.40
Var68911            Pav68911            7.45             7.40
Var68912            Pav68912            7.09             7.20
Var68915            Pav68915            7.91             7.80
Var68922            Pav68922            8.80             9.20
Var68924            Pav68924            6.56             6.00
Var68926            Pav68926            5.41             6.00
Var68927            Pav68927            7.64             7.40
Var68928            Pav68928            5.95             6.00
Var68929            Pav68929            5.69             5.80
Var68931            Pav68931            7.61             7.00
Var68932            Pav68932            5.05             5.00
Var68933            Pav68933            6.99             7.20
Var68934            Pav68934            8.16             8.00
Var68935            Pav68935            7.08             6.60
Var68936            Pav68936            6.87             7.40
Var68937            Pav68937            5.92             6.00
Var68938            Pav68938            8.11             8.00
Var6894             Pav6894             7.80             7.80
Var68940            Pav68940            6.00             6.40
Var68942            Pav68942            5.84             5.60
Var68944            Pav68944            7.07             7.20
Var68945            Pav68945            7.72             7.80
Var68950            Pav68950            6.68             6.60
Var68951            Pav68951            8.83             9.20
Var68952            Pav68952            7.85             8.20
Var68953            Pav68953            7.72             7.80
Var68955            Pav68955            7.01             7.20
Var68957            Pav68957            5.08             5.40
Var68958            Pav68958            6.63             6.20
Var68959            Pav68959            6.72             6.40
Var6896             Pav6896             6.36             6.60
Var68960            Pav68960            5.21             5.40
Var68964            Pav68964            5.16             5.40
Var68965            Pav68965            6.44             6.60
Var68966            Pav68966            8.09             8.20
Var6897             Pav6897             6.20             6.20
Var68970            Pav68970            5.29             5.40
Var68971            Pav68971            5.04             5.20
Var68972            Pav68972            8.03             8.40
Var68975            Pav68975            8.17             8.60
Var68977            Pav68977            7.35             7.00
Var68978            Pav68978            5.97             6.40
Var68980            Pav68980            5.93             5.80
Var68981            Pav68981            8.19             8.40
Var68983            Pav68983            7.67             8.20
Var68985            Pav68985            6.83             6.80
Var68986            Pav68986            7.24             7.00
Var68988            Pav68988            5.09             5.20
Var68989            Pav68989            8.77             8.80
Var6899             Pav6899             7.65             7.60
Var68991            Pav68991            5.65             5.60
Var68992            Pav68992            8.08             8.00
Var68994            Pav68994            5.48             5.80
Var68995            Pav68995            6.56             6.40
Var68996            Pav68996            5.97             6.40
Var68998            Pav68998            5.39             5.60
Var68999            Pav68999            8.37             8.40
Var690              Pav690              5.03             5.00
Var6900             Pav6900             6.73             7.00
Var69001            Pav69001            6.60             6.60
Var69002            Pav69002            5.81             6.00
Var69006            Pav69006            6.37             6.00
Var69009            Pav69009            6.52             6.20
Var69010            Pav69010            7.57             7.60
Var69011            Pav69011            6.88             6.80
Var69012            Pav69012            5.29             5.40
Var69014            Pav69014            7.28             7.60
Var69017            Pav69017            7.01             7.20
Var69018            Pav69018            7.16             7.00
Var69019            Pav69019            7.95             8.00
Var6902             Pav6902             8.53             8.80
Var69020            Pav69020            7.73             7.60
Var69022            Pav69022            6.80             6.40
Var69023            Pav69023            5.91             6.20
Var69025            Pav69025            8.23             8.60
Var69032            Pav69032            8.45             8.40
Var69033            Pav69033            6.11             6.00
Var69035            Pav69035            7.95             7.60
Var69036            Pav69036            6.29             6.80
Var69037            Pav69037            8.20             8.20
Var69038            Pav69038            5.68             5.60
Var69039            Pav69039            6.96             6.80
Var6904             Pav6904             8.27             8.40
Var69040            Pav69040            6.51             6.40
Var69041            Pav69041            7.96             7.80
Var69042            Pav69042            5.52             5.20
Var69044            Pav69044            8.69             8.40
Var69045            Pav69045            6.47             6.60
Var69047            Pav69047            5.35             5.40
Var69050            Pav69050            6.67             6.40
Var69051            Pav69051            6.36             6.60
Var69054            Pav69054            5.84             6.00
Var69055            Pav69055            5.71             6.00
Var69057            Pav69057            7.16             7.00
Var69058            Pav69058            6.13             6.40
Var6906             Pav6906             5.63             5.60
Var69060            Pav69060            6.73             6.60
Var69061            Pav69061            6.20             5.80
Var69062            Pav69062            5.37             5.80
Var69063            Pav69063            5.77             5.80
Var69064            Pav69064            6.19             6.40
Var69067            Pav69067            7.39             7.60
Var69069            Pav69069            6.05             6.40
Var69070            Pav69070            6.41             6.60
Var69071            Pav69071            7.59             7.80
Var69072            Pav69072            6.52             6.20
Var69073            Pav69073            6.88             6.80
Var69074            Pav69074            6.96             6.80
Var69075            Pav69075            7.73             7.60
Var69076            Pav69076            5.05             4.60
Var69080            Pav69080            7.64             7.80
Var69082            Pav69082            6.57             6.60
Var69084            Pav69084            5.57             5.60
Var69085            Pav69085            6.91             6.80
Var69088            Pav69088            6.83             6.80
Var69089            Pav69089            7.64             7.80
Var69091            Pav69091            5.88             6.20
Var69092            Pav69092            8.29             8.40
Var69093            Pav69093            5.40             5.40
Var69094            Pav69094            7.40             7.80
Var69095            Pav69095            7.85             8.20
Var69097            Pav69097            6.63             7.00
Var69098            Pav69098            7.29             7.40
Var69099            Pav69099            6.89             7.40
Var6910             Pav6910             5.35             5.40
Var69100            Pav69100            6.57             6.60
Var69101            Pav69101            7.21             7.00
Var69106            Pav69106            5.92             6.00
Var69107            Pav69107            6.77             6.80
Var69108            Pav69108            6.63             6.60
Var69110            Pav69110            8.64             8.80
Var69113            Pav69113            7.91             8.20
Var69114            Pav69114            5.71             6.40
Var69115            Pav69115            6.59             6.00
Var69116            Pav69116            6.80             6.80
Var69117            Pav69117            5.47             5.60
Var69118            Pav69118            7.64             7.40
Var69119            Pav69119            6.57             6.60
Var6912             Pav6912             6.21             6.40
Var69123            Pav69123            6.61             6.40
Var69124            Pav69124            8.64             9.20
Var69126            Pav69126            7.44             7.60
Var6913             Pav6913             5.71             6.40
Var69130            Pav69130            5.52             5.60
Var69131            Pav69131            7.95             7.60
Var69132            Pav69132            7.41             7.60
Var69133            Pav69133            7.07             7.20
Var69135            Pav69135            6.75             6.40
Var69137            Pav69137            8.45             8.80
Var69139            Pav69139            6.52             6.60
Var69140            Pav69140            8.49             8.60
Var69142            Pav69142            6.63             7.00
Var69144            Pav69144            8.53             8.40
Var69145            Pav69145            6.47             6.60
Var69148            Pav69148            8.29             8.40
Var69149            Pav69149            5.79             6.40
Var6915             Pav6915             5.19             5.40
Var69150            Pav69150            8.75             9.20
Var69151            Pav69151            6.96             7.20
Var69153            Pav69153            8.05             8.40
Var69154            Pav69154            7.09             7.20
Var69155            Pav69155            6.16             6.00
Var69157            Pav69157            6.60             7.00
Var69158            Pav69158            7.61             8.20
Var69159            Pav69159            7.48             7.00
Var6916             Pav6916             6.79             6.60
Var69160            Pav69160            5.00             5.00
Var69161            Pav69161            8.40             8.40
Var69165            Pav69165            7.53             7.00
Var69166            Pav69166            6.93             7.20
Var69168            Pav69168            6.41             6.60
Var69173            Pav69173            6.81             7.00
Var69175            Pav69175            6.57             6.60
Var69176            Pav69176            5.08             5.40
Var69179            Pav69179            7.20             7.20
Var6918             Pav6918             7.39             7.60
Var69181            Pav69181            8.69             8.80
Var69182            Pav69182            5.35             5.80
Var69183            Pav69183            8.21             8.00
Var69185            Pav69185            7.44             7.60
Var69187            Pav69187            5.92             6.00
Var69188            Pav69188            6.16             6.40
Var69190            Pav69190            7.53             7.80
Var69193            Pav69193            7.55             7.60
Var69195            Pav69195            5.89             5.60
Var69196            Pav69196            8.04             8.20
Var69197            Pav69197            7.20             7.20
Var69198            Pav69198            8.24             8.00
Var69199            Pav69199            5.95             6.00
Var692              Pav692              5.32             5.40
Var6920             Pav6920             7.83             7.80
Var69200            Pav69200            6.88             7.20
Var69201            Pav69201            6.63             6.60
Var69202            Pav69202            8.32             8.80
Var69208            Pav69208            5.79             6.00
Var69209            Pav69209            7.20             6.80
Var6921             Pav6921             8.77             9.20
Var69211            Pav69211            8.27             8.00
Var69213            Pav69213            5.37             5.40
Var69215            Pav69215            5.28             5.20
Var69217            Pav69217            5.08             5.40
Var69218            Pav69218            5.45             5.80
Var69219            Pav69219            7.15             6.80
Var6922             Pav6922             7.19             7.00
Var69221            Pav69221            6.08             6.40
Var69223            Pav69223            5.76             5.60
Var69225            Pav69225            5.95             6.00
Var69227            Pav69227            7.64             7.80
Var69228            Pav69228            6.57             6.60
Var69229            Pav69229            6.40             6.40
Var6923             Pav6923             7.29             7.40
Var69230            Pav69230            5.84             6.00
Var69233            Pav69233            5.19             5.40
Var69234            Pav69234            5.87             5.60
Var69235            Pav69235            7.17             7.20
Var69236            Pav69236            6.96             7.20
Var69238            Pav69238            8.08             8.00
Var6924             Pav6924             7.96             8.20
Var69240            Pav69240            8.16             8.00
Var69242            Pav69242            6.28             5.80
Var69243            Pav69243            5.89             5.60
Var69245            Pav69245            8.40             8.40
Var69246            Pav69246            7.27             7.00
Var69249            Pav69249            5.11             4.60
Var69252            Pav69252            5.79             6.00
Var69254            Pav69254            7.88             8.20
Var69255            Pav69255            6.28             6.20
Var69257            Pav69257            5.87             6.00
Var69258            Pav69258            8.24             8.00
Var69259            Pav69259            5.63             5.60
Var69261            Pav69261            6.61             6.00
Var69264            Pav69264            8.35             8.40
Var69266            Pav69266            5.89             5.60
Var69269            Pav69269            7.83             7.40
Var6927             Pav6927             7.19             7.40
Var69270            Pav69270            7.67             8.20
Var69271            Pav69271            7.92             7.60
Var69273            Pav69273            5.48             5.80
Var69274            Pav69274            7.21             7.00
Var69277            Pav69277            6.91             7.60
Var69278            Pav69278            5.49             5.60
Var69280            Pav69280            7.65             8.40
Var69282            Pav69282            7.15             7.20
Var69284            Pav69284            6.72             6.80
Var69289            Pav69289            7.12             7.20
Var6929             Pav6929             7.61             7.80
Var69290            Pav69290            8.51             8.40
Var69295            Pav69295            5.76             5.60
Var69296            Pav69296            7.24             7.00
Var693              Pav693              6.56             6.80
Var69302            Pav69302            5.24             5.40
Var69304            Pav69304            5.00             5.00
Var69305            Pav69305            5.56             5.80
Var69306            Pav69306            8.24             8.00
Var69307            Pav69307            7.05             7.00
Var69308            Pav69308            7.93             8.60
Var69309            Pav69309            8.11             8.40
Var6931             Pav6931             8.48             8.80
Var69311            Pav69311            6.85             6.80
Var69313            Pav69313            6.57             6.60
Var69314            Pav69314            5.36             5.20
Var69315            Pav69315            7.17             7.60
Var69316            Pav69316            5.71             5.60
Var69317            Pav69317            7.89             7.60
Var69319            Pav69319            8.45             8.00
Var69321            Pav69321            5.16             5.40
Var69322            Pav69322            7.17             6.80
Var69324            Pav69324            7.29             7.00
Var69326            Pav69326            8.08             8.00
Var69329            Pav69329            5.00             4.60
Var69330            Pav69330            7.83             7.80
Var69331            Pav69331            7.15             6.80
Var69334            Pav69334            5.95             6.00
Var69336            Pav69336            6.36             5.80
Var69337            Pav69337            6.28             6.60
Var6934             Pav6934             8.01             7.80
Var69341            Pav69341            6.96             6.80
Var69342            Pav69342            5.95             5.60
Var69343            Pav69343            6.53             7.20
Var69346            Pav69346            5.60             5.20
Var69347            Pav69347            6.57             7.00
Var69348            Pav69348            5.63             5.20
Var6935             Pav6935             7.36             7.60
Var69350            Pav69350            8.61             8.40
Var69355            Pav69355            5.43             5.80
Var69356            Pav69356            7.84             7.20
Var69357            Pav69357            7.43             7.40
Var69358            Pav69358            5.16             5.00
Var69359            Pav69359            7.92             7.60
Var6936             Pav6936             6.64             6.80
Var69360            Pav69360            7.08             6.60
Var69366            Pav69366            7.48             7.00
Var69367            Pav69367            6.89             7.00
Var69368            Pav69368            7.33             7.20
Var69369            Pav69369            5.68             6.00
Var69371            Pav69371            5.57             5.60
Var69372            Pav69372            8.45             8.40
Var69374            Pav69374            5.08             5.00
Var69377            Pav69377            5.16             5.40
Var69378            Pav69378            6.53             6.80
Var69379            Pav69379            8.00             7.60
Var6938             Pav6938             5.25             5.20
Var69380            Pav69380            6.88             6.40
Var69382            Pav69382            6.63             6.60
Var69383            Pav69383            6.31             6.20
Var69384            Pav69384            5.52             5.60
Var69385            Pav69385            6.59             6.40
Var69388            Pav69388            6.99             7.20
Var69389            Pav69389            5.32             5.40
Var69390            Pav69390            5.16             5.00
Var69391            Pav69391            7.29             7.00
Var69393            Pav69393            6.28             6.60
Var69395            Pav69395            5.35             5.80
Var69396            Pav69396            7.88             7.80
Var69399            Pav69399            7.71             7.60
Var694              Pav694              5.27             5.00
Var6940             Pav6940             5.57             5.60
Var69400            Pav69400            6.96             6.80
Var69402            Pav69402            5.19             5.00
Var69405            Pav69405            5.80             5.80
Var69406            Pav69406            7.12             7.20
Var6941             Pav6941             6.55             6.60
Var69410            Pav69410            7.32             7.00
Var69411            Pav69411            5.51             5.80
Var69412            Pav69412            6.64             6.40
Var69413            Pav69413            6.57             6.60
Var69414            Pav69414            6.41             6.20
Var69416            Pav69416            7.41             6.80
Var69417            Pav69417            5.00             4.60
Var69418            Pav69418            7.27             7.00
Var69419            Pav69419            6.12             6.20
Var6942             Pav6942             6.39             6.60
Var69422            Pav69422            5.20             4.80
Var69423            Pav69423            5.80             5.80
Var69424            Pav69424            7.56             7.40
Var69426            Pav69426            8.11             8.40
Var69427            Pav69427            5.03             5.00
Var6943             Pav6943             6.72             6.80
Var69431            Pav69431            6.63             6.60
Var69432            Pav69432            6.75             6.80
Var69434            Pav69434            7.31             7.20
Var69436            Pav69436            6.77             6.40
Var69439            Pav69439            7.11             6.60
Var6944             Pav6944             7.95             8.00
Var69440            Pav69440            6.61             6.40
Var69441            Pav69441            5.47             5.60
Var69444            Pav69444            5.84             6.00
Var69446            Pav69446            7.12             7.60
Var69447            Pav69447            7.27             7.40
Var69448            Pav69448            7.36             7.20
Var69449            Pav69449            7.36             7.60
Var69450            Pav69450            5.73             5.60
Var69451            Pav69451            7.13             7.40
Var69452            Pav69452            5.47             4.80
Var69453            Pav69453            6.81             7.40
Var69455            Pav69455            7.32             7.40
Var69456            Pav69456            6.13             6.40
Var69457            Pav69457            7.63             7.60
Var6946             Pav6946             6.28             6.20
Var69460            Pav69460            7.48             7.00
Var69461            Pav69461            7.93             8.20
Var69462            Pav69462            7.19             6.60
Var69463            Pav69463            6.03             6.40
Var69465            Pav69465            8.11             8.80
Var69466            Pav69466            8.24             8.80
Var6947             Pav6947             5.00             4.60
Var69470            Pav69470            6.55             6.60
Var69472            Pav69472            7.64             7.40
Var69473            Pav69473            6.67             6.40
Var69474            Pav69474            7.43             7.40
Var69475            Pav69475            8.29             8.80
Var69476            Pav69476            7.72             7.80
Var69477            Pav69477            8.08             7.60
Var69479            Pav69479            5.57             6.00
Var69480            Pav69480            5.23             5.60
Var69482            Pav69482            7.51             7.40
Var69483            Pav69483            7.17             7.20
Var69485            Pav69485            8.59             8.40
Var69488            Pav69488            5.44             5.60
Var69489            Pav69489            7.80             7.80
Var6949             Pav6949             6.47             6.60
Var69492            Pav69492            7.56             7.40
Var69493            Pav69493            6.24             6.80
Var69494            Pav69494            6.41             6.60
Var69495            Pav69495            7.09             7.20
Var69496            Pav69496            6.49             6.60
Var69497            Pav69497            8.16             8.40
Var69498            Pav69498            5.16             5.00
Var69499            Pav69499            7.73             7.60
Var695              Pav695              7.37             7.40
Var69501            Pav69501            8.32             8.00
Var69502            Pav69502            5.53             5.80
Var69505            Pav69505            5.45             5.40
Var69506            Pav69506            8.43             8.40
Var69507            Pav69507            5.71             5.20
Var69509            Pav69509            5.19             5.00
Var6951             Pav6951             5.97             6.00
Var69510            Pav69510            5.35             5.80
Var69511            Pav69511            5.96             5.80
Var69513            Pav69513            7.17             7.20
Var69514            Pav69514            5.89             6.00
Var69515            Pav69515            6.85             7.20
Var69516            Pav69516            8.11             8.00
Var69518            Pav69518            6.33             6.20
Var69519            Pav69519            7.79             7.60
Var69520            Pav69520            6.67             6.80
Var69521            Pav69521            5.47             4.80
Var69524            Pav69524            5.59             5.80
Var69525            Pav69525            7.56             7.40
Var69527            Pav69527            5.60             6.00
Var69528            Pav69528            7.07             7.20
Var69530            Pav69530            7.05             6.20
Var69537            Pav69537            6.67             6.80
Var69538            Pav69538            8.13             8.00
Var69543            Pav69543            8.51             8.80
Var69544            Pav69544            5.65             5.60
Var69545            Pav69545            6.55             6.20
Var69546            Pav69546            6.44             6.60
Var69548            Pav69548            8.03             7.60
Var69549            Pav69549            6.93             7.20
Var69555            Pav69555            6.76             7.00
Var69558            Pav69558            8.67             9.20
Var69559            Pav69559            7.79             7.20
Var6956             Pav6956             7.01             6.80
Var69560            Pav69560            5.97             6.00
Var69561            Pav69561            7.04             6.80
Var69563            Pav69563            6.07             5.80
Var69564            Pav69564            6.85             7.20
Var69565            Pav69565            5.32             5.40
Var69567            Pav69567            6.77             6.80
Var69568            Pav69568            6.56             6.40
Var69569            Pav69569            8.53             9.20
Var69571            Pav69571            8.19             8.00
Var69572            Pav69572            6.03             6.40
Var69573            Pav69573            6.09             5.80
Var69576            Pav69576            8.11             8.00
Var69577            Pav69577            5.51             5.80
Var69578            Pav69578            5.21             5.40
Var6958             Pav6958             6.57             6.60
Var69580            Pav69580            6.00             6.40
Var69581            Pav69581            6.85             6.80
Var69583            Pav69583            6.85             7.20
Var69584            Pav69584            7.01             6.80
Var69585            Pav69585            7.53             7.80
Var69586            Pav69586            5.13             5.00
Var69587            Pav69587            7.45             7.00
Var69588            Pav69588            8.27             8.40
Var69589            Pav69589            6.36             5.80
Var6959             Pav6959             8.13             8.00
Var69590            Pav69590            5.44             5.20
Var69591            Pav69591            7.84             7.60
Var69592            Pav69592            6.68             7.00
Var69593            Pav69593            8.00             8.40
Var69594            Pav69594            7.64             7.80
Var69595            Pav69595            7.20             7.20
Var69597            Pav69597            5.77             6.20
Var696              Pav696              6.73             7.40
Var6960             Pav6960             6.57             7.00
Var69602            Pav69602            7.72             7.80
Var69603            Pav69603            7.56             7.80
Var69604            Pav69604            7.00             7.00
Var69606            Pav69606            7.12             7.20
Var69608            Pav69608            7.07             6.80
